"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.1551","0.1340","2020","1.74","1.58","0.16 (-0.06, 0.38)","10.11% (-3.85%, 24.07%)"
"0.1551","0.1340","2021","1.53","1.51","0.02 (-0.45, 0.49)","1.33% (-29.81%, 32.47%)"
"0.1551","0.1340","2020-2021","1.63","1.54","0.09 (-0.16, 0.36)","5.72% (-7.47%, 30.80%)"
