"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0174","0.0164","2020","0.52","0.55","-0.03 (-0.05, -0.01)","-5.76% (-8.92%, -2.60%)"
"0.0174","0.0164","2021","0.52","0.54","-0.03 (-0.06, 0.01)","-4.68% (-10.75%, 1.39%)"
"0.0174","0.0164","2020-2021","0.52","0.55","-0.03 (-0.05, -0.01)","-5.22% (-8.24%, -1.72%)"
