"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0284","0.0269","2020","0.18","0.23","-0.05 (-0.06, -0.04)","-21.84% (-26.07%, -17.60%)"
"0.0284","0.0269","2021","0.19","0.24","-0.05 (-0.07, -0.03)","-21.12% (-28.45%, -13.79%)"
"0.0284","0.0269","2020-2021","0.19","0.24","-0.05 (-0.06, -0.04)","-21.48% (-24.53%, -17.85%)"
