"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.2343","0.1994","2020","2.96","3.09","-0.13 (-0.38, 0.13)","-4.07% (-12.23%, 4.08%)"
"0.2343","0.1994","2021","2.84","3.06","-0.22 (-0.73, 0.30)","-7.05% (-23.81%, 9.71%)"
"0.2343","0.1994","2020-2021","2.90","3.07","-0.17 (-0.45, 0.12)","-5.56% (-12.92%, 4.86%)"
