"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.1144","0.1117","2020","3.31","3.53","-0.22 (-0.24, -0.20)","-6.27% (-6.79%, -5.74%)"
"0.1144","0.1117","2021","3.20","3.49","-0.29 (-0.33, -0.26)","-8.35% (-9.30%, -7.39%)"
"0.1144","0.1117","2020-2021","3.25","3.51","-0.26 (-0.28, -0.24)","-7.31% (-7.80%, -6.80%)"
