"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0428","0.0400","2020","2.84","2.90","-0.07 (-0.16, 0.03)","-2.31% (-5.64%, 1.02%)"
"0.0428","0.0400","2021","2.71","2.82","-0.11 (-0.32, 0.10)","-3.90% (-11.20%, 3.40%)"
"0.0428","0.0400","2020-2021","2.78","2.86","-0.09 (-0.20, 0.03)","-3.10% (-6.65%, 1.07%)"
