"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.1798","0.1641","2020","4.56","4.63","-0.07 (-0.46, 0.31)","-1.57% (-9.87%, 6.73%)"
"0.1798","0.1641","2021","4.43","4.48","-0.05 (-0.80, 0.69)","-1.17% (-17.84%, 15.49%)"
"0.1798","0.1641","2020-2021","4.50","4.56","-0.06 (-0.47, 0.37)","-1.37% (-9.14%, 9.63%)"
