"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0087","0.0083","2020","0.07","0.07","-0.00 (-0.01, 0.01)","-5.89% (-19.43%, 7.65%)"
"0.0087","0.0083","2021","0.07","0.07","-0.01 (-0.03, 0.02)","-7.92% (-36.86%, 21.01%)"
"0.0087","0.0083","2020-2021","0.07","0.07","-0.01 (-0.02, 0.01)","-6.91% (-18.18%, 13.63%)"
