"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0070","0.0065","2020","0.04","0.06","-0.01 (-0.02, -0.01)","-23.58% (-28.50%, -18.67%)"
"0.0070","0.0065","2021","0.05","0.06","-0.01 (-0.02, -0.01)","-21.42% (-29.51%, -13.33%)"
"0.0070","0.0065","2020-2021","0.04","0.06","-0.01 (-0.02, -0.01)","-22.50% (-25.85%, -18.45%)"
