"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0292","0.0228","2020","0.40","0.37","0.04 (-0.01, 0.08)","9.79% (-3.10%, 22.67%)"
"0.0292","0.0228","2021","0.36","0.35","0.01 (-0.09, 0.11)","2.46% (-26.07%, 31.00%)"
"0.0292","0.0228","2020-2021","0.38","0.36","0.02 (-0.03, 0.08)","6.13% (-6.33%, 28.59%)"
