"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0325","0.0284","2020","1.00","1.01","-0.02 (-0.10, 0.07)","-1.71% (-10.15%, 6.73%)"
"0.0325","0.0284","2021","0.97","0.98","-0.01 (-0.18, 0.16)","-1.10% (-18.42%, 16.21%)"
"0.0325","0.0284","2020-2021","0.98","1.00","-0.01 (-0.11, 0.08)","-1.41% (-9.39%, 10.05%)"
