"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0157","0.0142","2020","0.13","0.13","-0.00 (-0.01, 0.01)","-1.38% (-8.65%, 5.89%)"
"0.0157","0.0142","2021","0.12","0.13","-0.00 (-0.02, 0.02)","-1.87% (-16.89%, 13.15%)"
"0.0157","0.0142","2020-2021","0.13","0.13","-0.00 (-0.01, 0.01)","-1.62% (-8.65%, 7.99%)"
