"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0696","0.0615","2020","0.61","0.63","-0.02 (-0.07, 0.02)","-3.78% (-11.21%, 3.65%)"
"0.0696","0.0615","2021","0.58","0.62","-0.04 (-0.13, 0.06)","-5.87% (-21.46%, 9.72%)"
"0.0696","0.0615","2020-2021","0.59","0.62","-0.03 (-0.08, 0.03)","-4.83% (-11.79%, 4.82%)"
