"Net Drift (%/year)","CILo","CIHi","location","cause","measure","sex","rei","type","draw_id"
-0.0496589936614278,-0.328861200020958,0.230325323477354,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",6
0.821801921012288,0.640186551096367,1.00374503418583,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",6
-1.55286892843902,-1.75112680552311,-1.35421098380661,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",6
0.233749343454059,0.0925749912895402,0.375122813262529,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",6
0.753666246107532,0.490388534471098,1.01763372673038,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",6
1.53442773156538,1.30963723396333,1.75971700469553,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",6
0.228442157641551,-0.0295086945005796,0.48705859260969,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",6
0.31189692852378,0.00662272980693768,0.618102988889957,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",6
-0.194899699841333,-0.444625178489544,0.0554521921451778,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",7
0.551847479173517,0.390109270710215,0.713846263586637,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",7
-1.61453602241611,-1.91450081090475,-1.3136538824833,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",7
0.234193653073533,0.0990369024666427,0.369532896417635,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",7
0.787133002128737,0.485620948489651,1.08954975753144,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",7
1.44547526489491,1.22092717269875,1.6705214936634,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",7
0.134630772947619,-0.135661057617531,0.405654172703973,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",7
0.202940968058263,-0.0608989549815031,0.467477430333063,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",7
-0.0435576917076963,-0.358000243912826,0.271877154097311,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",8
0.892513377570414,0.729101027356616,1.05619083087687,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",8
-1.64526283190349,-1.96149172398604,-1.32801392519664,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",8
0.152285156030141,0.0185888499646847,0.286160175897332,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",8
0.760587605407381,0.502811136099646,1.01902523739681,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",8
1.51015591114967,1.29157185328352,1.72921166660605,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",8
0.35490424841631,0.173677337392619,0.53645902194992,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",8
-0.268747497401312,-0.639870106628171,0.103761301550009,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",8
-0.161307458166837,-0.40098694935643,0.0789488084017353,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",9
0.788373772868489,0.589540994314586,0.987599579101373,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",9
-1.61006119103917,-1.90939333553358,-1.30981560808439,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",9
0.14376375960059,0.021899806287351,0.26577618862913,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",9
0.749268013526128,0.46426778499562,1.03507673976486,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",9
1.47846291455001,1.2847497306006,1.67254658663047,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",9
0.428351426745244,0.177664260057808,0.679665919453964,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",9
-0.0302027964518614,-0.439042943974344,0.380316224709132,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",9
-0.243400806863614,-0.493102076300977,0.00692705957616724,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",10
0.784209312532602,0.594829399963115,0.973945751888783,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",10
-1.55446586213566,-1.84030685578666,-1.26779249960662,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",10
0.147519120877293,0.0146185357277506,0.280596305865877,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",10
0.777586843793987,0.427135262657208,1.12926136443214,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",10
1.65212983924672,1.44366507822866,1.86102299129887,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass",10
