"Net Drift (%/year)","CILo","CIHi","location","cause","measure","sex","rei","type","draw_id"
-0.297712057739685,-0.578913242500945,-0.0157155275553489,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",6
0.822013253485165,0.584350317945548,1.06023774428412,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",6
-1.53311422250083,-1.85350121880089,-1.21168136283659,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",6
0.157027528878295,-0.00180900819822805,0.31611636097395,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",6
1.01856277734078,0.691714652826092,1.34647186001742,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",6
2.16528182481972,1.89830788837315,2.43295523394862,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",6
-0.0877493355725067,-0.379572034092945,0.204928212591837,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",6
0.110300011464903,-0.14789072181236,0.369158356625676,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",6
-0.247135315049463,-0.552595674055345,0.0592632889670153,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",7
0.842445865463093,0.630519149114872,1.05481889703938,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",7
-1.72024261831524,-2.05739360009756,-1.38193105087265,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",7
0.372278102888646,0.176742493403115,0.568195379551861,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",7
0.911590764698311,0.608640775120928,1.21545298900503,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",7
2.03273414443179,1.75409213214892,2.31213918618485,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",7
-0.0161559805197942,-0.279604007695955,0.247988041315561,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",7
-0.0163469857250464,-0.259079142123975,0.22697589010221,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",7
-0.304302547354207,-0.665135371041914,0.0578409976712324,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",8
0.983817822139765,0.774318479609182,1.1937526920466,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",8
-1.59822064145771,-1.93824784828358,-1.25701439694543,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",8
0.272839226046928,0.0572770822605095,0.488865774214409,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",8
0.981355123529082,0.55276154701458,1.41177552658722,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",8
2.02364437476974,1.77724167853317,2.27064361191969,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",8
0.114834353166948,-0.166969317040266,0.397433484635812,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",8
-0.0277189911798592,-0.357395213221257,0.303047993308114,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",8
-0.317995692847495,-0.635694726991065,0.000719125344672555,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",9
1.0194321117077,0.771315130010031,1.26816000174297,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",9
-1.54418856915025,-1.85828148710039,-1.22909042770697,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",9
0.376463818114492,0.164185573178233,0.589191944942313,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",9
1.03884136819226,0.710084500211217,1.36867142639827,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",9
2.199579800817,1.94423764713409,2.45556151605781,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",9
0.0627446243643526,-0.170998928297117,0.297035473380847,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",9
-0.133328501174101,-0.400048279792087,0.134105529198814,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",9
-0.397928088311295,-0.68770730957386,-0.107303332273523,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",10
0.892501601317131,0.682002968344997,1.10344032957121,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",10
-1.45111860257708,-1.7614702153978,-1.13978653815768,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",10
0.167992920848969,-0.0424629544156563,0.378891901023382,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",10
0.87201546309339,0.609008213209727,1.13571025393111,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",10
2.11323256796048,1.87507571711307,2.35194616622822,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",10
0.0292770310244439,-0.307327492739573,0.36701807367765,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",10
-0.0451195915022518,-0.281123642168468,0.191443008497516,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",10
-0.309802108409851,-0.579677181109384,-0.0391944636083608,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",11
0.986534241053083,0.740746138061632,1.23292201988461,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",11
-1.66914336479703,-2.03688209537377,-1.30002419863536,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",11
0.0859346402442673,-0.114098213923897,0.286368082904209,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",11
0.732962353104982,0.454461510406334,1.01223531401735,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",11
2.01366392671503,1.72511231158772,2.3030340421389,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",11
