"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.2343","0.1994","2020","2.96","3.11","-0.15 (-0.31, 0.01)","-4.86% (-9.48%, 0.25%)"
"0.2343","0.1994","2021","2.84","3.10","-0.26 (-0.47, -0.04)","-8.51% (-14.26%, -1.41%)"
"0.2343","0.1994","2020-2021","2.90","3.11","-0.21 (-0.39, -0.01)","-6.68% (-11.87%, -0.44%)"
