"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.1340","0.1037","2020","1.74","1.68","0.06 (-0.07, 0.17)","3.30% (-3.72%, 10.95%)"
"0.1340","0.1037","2021","1.53","1.62","-0.09 (-0.23, 0.05)","-5.63% (-13.13%, 3.16%)"
"0.1340","0.1037","2020-2021","1.63","1.65","-0.02 (-0.15, 0.11)","-1.09% (-8.34%, 7.38%)"
