"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0167","0.0156","2020","0.52","0.57","-0.05 (-0.08, -0.02)","-8.22% (-12.57%, -2.97%)"
"0.0167","0.0156","2021","0.52","0.56","-0.04 (-0.08, -0.01)","-7.95% (-12.86%, -2.13%)"
"0.0167","0.0156","2020-2021","0.52","0.57","-0.05 (-0.08, -0.01)","-8.08% (-12.70%, -2.55%)"
