"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0069","0.0064","2020","0.04","0.05","-0.01 (-0.01, -0.00)","-16.96% (-25.27%, -8.92%)"
"0.0069","0.0064","2021","0.05","0.05","-0.01 (-0.01, -0.00)","-12.57% (-23.02%, -3.10%)"
"0.0069","0.0064","2020-2021","0.04","0.05","-0.01 (-0.01, -0.00)","-14.72% (-24.23%, -5.93%)"
