"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0103","0.0099","2020","0.07","0.07","-0.00 (-0.01, 0.00)","-3.63% (-13.38%, 6.45%)"
"0.0103","0.0099","2021","0.07","0.07","-0.00 (-0.02, 0.01)","-5.46% (-19.35%, 8.44%)"
"0.0103","0.0099","2020-2021","0.07","0.07","-0.00 (-0.01, 0.00)","-4.54% (-16.56%, 7.32%)"
