"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0152","0.0137","2020","0.13","0.13","-0.00 (-0.01, 0.01)","-2.26% (-8.80%, 4.52%)"
"0.0152","0.0137","2021","0.12","0.13","-0.01 (-0.02, 0.01)","-4.30% (-12.72%, 4.48%)"
"0.0152","0.0137","2020-2021","0.13","0.13","-0.00 (-0.01, 0.01)","-3.27% (-10.65%, 4.52%)"
