"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0284","0.0269","2020","0.18","0.21","-0.03 (-0.05, -0.02)","-15.44% (-22.49%, -8.19%)"
"0.0284","0.0269","2021","0.19","0.22","-0.03 (-0.05, -0.01)","-12.59% (-21.13%, -4.01%)"
"0.0284","0.0269","2020-2021","0.19","0.22","-0.03 (-0.05, -0.01)","-13.99% (-21.72%, -6.08%)"
