"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0243","0.0232","2020","0.59","0.65","-0.06 (-0.11, -0.02)","-9.61% (-15.11%, -3.24%)"
"0.0243","0.0232","2021","0.57","0.66","-0.09 (-0.14, -0.04)","-13.10% (-19.24%, -5.96%)"
"0.0243","0.0232","2020-2021","0.58","0.65","-0.07 (-0.12, -0.03)","-11.36% (-17.15%, -4.60%)"
