"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.1892","0.1738","2020","4.56","4.71","-0.14 (-0.36, 0.06)","-3.07% (-7.30%, 1.27%)"
"0.1892","0.1738","2021","4.43","4.60","-0.17 (-0.42, 0.09)","-3.69% (-8.74%, 2.01%)"
"0.1892","0.1738","2020-2021","4.50","4.65","-0.16 (-0.39, 0.07)","-3.38% (-8.01%, 1.64%)"
