"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0696","0.0615","2020","0.61","0.65","-0.04 (-0.08, 0.00)","-6.42% (-12.17%, 0.54%)"
"0.0696","0.0615","2021","0.58","0.65","-0.07 (-0.12, -0.01)","-10.49% (-17.53%, -1.49%)"
"0.0696","0.0615","2020-2021","0.59","0.65","-0.05 (-0.10, -0.00)","-8.45% (-14.82%, -0.54%)"
