"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0416","0.0383","2020","0.29","0.29","0.00 (-0.02, 0.03)","1.22% (-7.82%, 10.18%)"
"0.0416","0.0383","2021","0.28","0.28","-0.01 (-0.04, 0.02)","-1.80% (-12.69%, 9.52%)"
"0.0416","0.0383","2020-2021","0.28","0.28","-0.00 (-0.03, 0.03)","-0.27% (-10.08%, 9.69%)"
