"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0415","0.0399","2020","2.84","2.98","-0.14 (-0.34, 0.03)","-4.70% (-10.65%, 0.99%)"
"0.0415","0.0399","2021","2.71","2.95","-0.23 (-0.47, -0.03)","-7.95% (-14.76%, -0.97%)"
"0.0415","0.0399","2020-2021","2.78","2.96","-0.19 (-0.41, 0.00)","-6.32% (-12.76%, 0.11%)"
