"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.2636","0.2260","2020","13.56","14.28","-0.72 (-1.43, -0.13)","-5.03% (-9.55%, -0.95%)"
"0.2636","0.2260","2021","12.99","14.14","-1.15 (-2.01, -0.41)","-8.15% (-13.39%, -3.08%)"
"0.2636","0.2260","2020-2021","13.28","14.21","-0.94 (-1.72, -0.27)","-6.58% (-11.45%, -1.97%)"
