"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0341","0.0301","2020","1.00","1.03","-0.03 (-0.09, 0.03)","-3.31% (-8.40%, 2.77%)"
"0.0341","0.0301","2021","0.97","1.01","-0.04 (-0.11, 0.04)","-3.83% (-9.90%, 4.00%)"
"0.0341","0.0301","2020-2021","0.98","1.02","-0.04 (-0.10, 0.03)","-3.57% (-9.12%, 3.46%)"
