"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0222","0.0167","2020","3.31","3.63","-0.32 (-0.47, -0.18)","-8.82% (-12.44%, -5.15%)"
"0.0222","0.0167","2021","3.20","3.61","-0.41 (-0.59, -0.24)","-11.31% (-15.52%, -6.92%)"
"0.0222","0.0167","2020-2021","3.25","3.62","-0.36 (-0.53, -0.21)","-10.06% (-13.94%, -6.01%)"
