"RMSE","MAE","Periods","Observed","Predicted","Absolute difference (95%CI)","Relative change (95%CI)"
"0.0321","0.0270","2020","0.40","0.37","0.03 (0.00, 0.05)","7.61% (0.73%, 15.16%)"
"0.0321","0.0270","2021","0.36","0.36","-0.00 (-0.03, 0.03)","-0.51% (-8.39%, 8.67%)"
"0.0321","0.0270","2020-2021","0.38","0.37","0.01 (-0.01, 0.04)","3.63% (-3.78%, 11.95%)"
